,Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date,enter,exit,enter_exit
582651,732228,Dollar General 6294,Combination Grocery/Other,225,Harrison Ave, ,Endicott,NY,13760,5146,BROOME,42.09881,-76.05373,2004-10-30,,0,0,0
582652,732955,Dollar General 6436,Combination Grocery/Other,2649,Main St, ,Whitney Point,NY,13862, ,BROOME,42.32895,-75.96843,2004-11-04,,0,0,0
582653,733918,Dollar General 9951,Combination Grocery/Other,357,Court St, ,Binghamton,NY,13904,1536,BROOME,42.10421,-75.8891,2004-11-11,,0,0,0
582654,751217,Dollar General 6766,Combination Grocery/Other,310,Exchange Ave, ,Endicott,NY,13760,6010,BROOME,42.09449,-76.06535,2005-04-21,,0,0,0
582655,755669,Dollar General 10141,Combination Grocery/Other,2658,State Route 26, ,Maine,NY,13802,1006,BROOME,42.19849,-76.05817,2005-06-02,,0,0,0
582657,1206298,Dollar General 15675,Combination Grocery/Other,29,North Rd, ,Windsor,NY,13865,1202,BROOME,42.09608,-75.75712,2015-07-20,,0,0,0
582658,1304570,Dollar General 18376,Combination Grocery/Other,1538,Conklin Rd, ,Conklin,NY,13748,1745,BROOME,42.02297,-75.79778,2017-11-02,,1,0,0
582659,1310285,Dollar General 18570,Combination Grocery/Other,2225,Airport Rd, ,Binghamton,NY,13905,5913,BROOME,42.19328,-75.98511,2018-01-03,,1,0,0
582660,1365517,Dollar General 19913,Combination Grocery/Other,109,State Route 12, ,Chenango Forks,NY,13746, ,BROOME,42.24545,-75.8366,2019-05-18,,1,0,0
582661,1424303,Dollar General 20396,Combination Grocery/Other,1749,NY SR 12, ,Binghamton,NY,13901, ,BROOME,42.19335,-75.87669,2020-09-29,,1,0,0
582662,1462349,Dollar General 22475,Combination Grocery/Other,2301,Vestal Pkwy W, ,Vestal,NY,13850, ,BROOME,42.06886,-76.09938,2021-07-13,,0,0,0
582663,1267723,Dollar General Store 17006,Combination Grocery/Other,599,Kent St, ,Windsor,NY,13865, ,BROOME,42.07063,-75.6424,2016-12-05,,0,0,0
582664,772509,DOLLAR TREE 1405,Combination Grocery/Other,2437,Vestal Pkwy E, ,Vestal,NY,13850,2018,BROOME,42.0945,-76.01232,2005-11-30,,0,0,0
582665,864250,Dollar Tree 2786,Combination Grocery/Other,800,Hooper Rd,Ste 12,Endwell,NY,13760, ,BROOME,42.12836,-76.02909,2008-08-27,,0,0,0
582666,868735,Dollar Tree 1936,Combination Grocery/Other,560,Harry L Drive,Plaza,Johnson City,NY,13790, ,BROOME,42.12408,-75.97025,2008-10-09,,0,0,0
582667,918365,Dollar Tree 1904,Combination Grocery/Other,10,Glenwood Ave,Ste 1,Binghamton,NY,13905,2571,BROOME,42.10821,-75.93735,2009-09-30,,0,0,0
582668,232311,DOWN TO EARTH WHOLEFOODS  ,Convenience Store,305,Grant Ave, ,Endicott,NY,13760,5468,BROOME,42.09934,-76.04532,1979-09-12,,0,0,0
582669,760170,DOWNTOWN BINGHAMTON FARMERS MARKET  ,Farmers' Market,1,COLLIER ST, ,BINGHAMTON,NY,13901, ,BROOME,42.09715,-75.91171,2005-07-16,2018-06-11,0,1,0
582674,825586,Eagle Mini Mart Inc  ,Convenience Store,296,Floral Ave, ,Johnson City,NY,13790,2517,BROOME,42.10722,-75.96127,2007-08-14,,0,0,0
582675,1362301,East Side Deli And Fried Chicken  ,Convenience Store,216,Robinson St, ,Binghamton,NY,13904,1622,BROOME,42.10779,-75.88464,2019-06-03,,1,0,0
582679,1365721,Empire Mart Inc  ,Convenience Store,121,Susquehanna St, ,Binghamton,NY,13901,4001,BROOME,42.09671,-75.90562,2019-11-20,2020-02-02,1,1,1
582680,1409201,Empire Plaza Gcs Inc  ,Convenience Store,3,Sova Rd,,Harpursville,NY,13787,1345,BROOME,42.18968,-75.70479,2020-08-18,,1,0,0
