,Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date,enter,exit,enter_exit
582814,1316977,Kwik Fill 357,Convenience Store,23,Floral Ave, ,Binghamton,NY,13905,3232,BROOME,42.10956,-75.94708,2018-04-05,,1,0,0
582815,1344245,Kwik Fill 027,Convenience Store,200,Harry L Dr, ,Johnson City,NY,13790,1524,BROOME,42.12307,-75.95525,2018-11-05,,1,0,0
582820,1365453,Lao Vanthavy Oriental  ,Combination Grocery/Other,154,Baldwin St, ,Johnson City,NY,13790,2393,BROOME,42.11085,-75.95763,2019-07-15,,1,0,0
582821,526664,LAO VANTHAVY ORIENTAL FOOD & GIFT  ,Meat/Poultry Specialty,154,Baldwin St, ,Johnson City,NY,13790,2393,BROOME,42.11085,-75.95763,2000-09-27,2018-12-20,0,1,0
582832,997644,Love's Travel Shop 403,Convenience Store,2,Industrial Park Dr, ,Binghamton,NY,13904, ,BROOME,42.10263,-75.83102,2011-04-19,,0,0,0
582838,1208970,Main Street Market  ,Convenience Store,2906,E Main St, ,Endicott,NY,13760,5842,BROOME,42.10614,-76.02831,2015-08-21,2017-12-13,0,1,0
582844,827286,Maines Food & Party Warehouse  ,Super Store,1022,Front St, ,Binghamton,NY,13905,1204,BROOME,42.14272,-75.9035,2007-07-20,,0,0,0
582896,1141747,Mirabito 75,Convenience Store,98,Broad Ave, ,Binghamton,NY,13904,1219,BROOME,42.11296,-75.88931,2014-05-14,,0,0,0
582897,1141759,Mirabito 77,Convenience Store,2,Castle Creek Rd, ,Binghamton,NY,13901,1004,BROOME,42.1619,-75.89346,2014-05-14,,0,0,0
582898,1141911,Mirabito 82,Convenience Store,150,Conklin Ave, ,Binghamton,NY,13903,2002,BROOME,42.09372,-75.90163,2014-05-14,,0,0,0
582899,1141942,Mirabito 88,Convenience Store,879,Upper Front St, ,Binghamton,NY,13905,1546,BROOME,42.132,-75.90579,2014-05-14,,0,0,0
582900,1141754,Mirabito 76,Convenience Store,4005,Vestal Pkwy West, ,Vestal,NY,13850, ,BROOME,42.09693,-75.97713,2014-05-14,,0,0,0
582901,1141768,Mirabito 78,Convenience Store,715,Upper Court St, ,Binghamton,NY,13904,2709,BROOME,42.10221,-75.84519,2014-05-14,,0,0,0
582902,1141907,Mirabito 81,Convenience Store,1161,Old Route 17, ,Windsor,NY,13865,2043,BROOME,42.05598,-75.61388,2014-05-14,,0,0,0
582903,1141923,Mirabito 83,Convenience Store,2965,Nys Rte 26, ,Glen Aubrey,NY,13777, ,BROOME,42.21314,-76.03856,2014-05-14,,0,0,0
582904,1141926,Mirabito 84,Convenience Store,215,Clinton St, ,Binghamton,NY,13905,2236,BROOME,42.10679,-75.93012,2014-05-14,,0,0,0
582905,1141931,Mirabito 86,Convenience Store,49,Downs Ave, ,Binghamton,NY,13905,1826,BROOME,42.1169,-75.94489,2014-05-14,,0,0,0
582906,1141929,Mirabito 85,Convenience Store,3117,Watson Blvd, ,Endicott,NY,13760,3531,BROOME,42.11069,-76.02368,2014-07-01,,0,0,0
582907,1141876,Mirabito  Harry L Drive 79,Convenience Store,733,Harry L Dr, ,Johnson City,NY,13790,1023,BROOME,42.12364,-75.97815,2014-05-14,,0,0,0
582908,1141943,Mirabito  Main St Vestal 89,Convenience Store,1590,State Route 26, ,Vestal,NY,13850,3316,BROOME,42.05282,-76.03053,2014-05-14,,0,0,0
582909,1141946,Mirabito  North Street 90,Convenience Store,906,North St, ,Endicott,NY,13760,5147,BROOME,42.10393,-76.05225,2014-05-14,,0,0,0
582910,1141948,Mirabito  Park Ave 91,Convenience Store,1000,Park Ave, ,Binghamton,NY,13903, ,BROOME,42.02219,-75.91506,2014-05-14,2019-09-23,0,1,0
582911,1141948,Mirabito  Park Ave 91,Convenience Store,1000,Park Ave, ,Binghamton,NY,13903, ,BROOME,42.02219,-75.91506,2019-10-16,,1,0,0
582912,1141881,Mirabito  Vestal Pkwy 80,Convenience Store,201,Vestal Pkwy E, ,Vestal,NY,13850,1612,BROOME,42.08717,-76.04926,2014-05-14,,0,0,0
582913,1471286,Mirabito - Commons 5,Convenience Store,33,S Washington St, ,Binghamton,NY,13903,2779,BROOME,42.09023,-75.91354,2021-09-15,,0,0,0
582914,1255032,Mirabito 100 - Bing - Court  ,Convenience Store,217,Court St, ,Binghamton,NY,13901,3601,BROOME,42.10116,-75.9025,2016-08-29,,0,0,0
582915,1255029,Mirabito 102 - J. C. Hospital  ,Convenience Store,120,Baldwin St, ,Johnson City,NY,13790,2148,BROOME,42.11217,-75.95775,2016-08-31,,0,0,0
582916,1255015,Mirabito 103 - Bing Otsiningo  ,Convenience Store,520,Chenango St, ,Binghamton,NY,13901,2146,BROOME,42.11794,-75.9016,2016-09-07,,0,0,0
582917,1255022,Mirabito 104 - Bing Hillcrest  ,Convenience Store,1102,Chenango St, ,Binghamton,NY,13901,1636,BROOME,42.14831,-75.88783,2016-08-29,,0,0,0
582918,1255038,Mirabito 105 - Bing Port Road  ,Convenience Store,12,Port Rd,1899 ROUTE,Binghamton,NY,13901,5300,BROOME,42.19431,-75.87479,2016-08-29,,0,0,0
582919,1371617,Mirabito 99 - Binghamton  ,Convenience Store,409,Court St, ,Binghamton,NY,13904,1626,BROOME,42.1044,-75.88262,2019-07-12,,1,0,0
582924,1392229,Nature's Design  ,Combination Grocery/Other,79,Glenwood Ave,,Binghamton,NY,13905,1942,BROOME,42.11338,-75.93979,2020-03-10,,1,0,0
582925,989940,Natures Design/Triangle Lifestyle Center  ,Small Grocery Store,3670,State Route 206, ,Greene,NY,13778,2127,BROOME,42.33933,-75.88303,2011-04-08,2020-03-17,0,1,0
582926,1083869,Neelam Inc - Harash Stop & Shop  ,Convenience Store,109,Washington Ave, ,Endicott,NY,13760,5306,BROOME,42.10204,-76.04812,2013-01-02,2021-10-03,0,0,0
582934,1320743,Noor Halal Food & More  ,Convenience Store,144,Grand Ave, ,Johnson City,NY,13790,2649,BROOME,42.11054,-75.95466,2018-07-27,,1,0,0
582936,1300550,Northside Deli  ,Convenience Store,511,Chenango St, ,Binghamton,NY,13901,2160,BROOME,42.11719,-75.90186,2017-10-17,,1,0,0
582937,851106,Northside Farmers Market/Citizen Action Fund of NY  ,Farmers' Market,435,State St,Big Lot Parking Lot,Binghamton,NY,13901,2341,BROOME,42.10711,-75.9062,2008-05-20,2018-06-11,0,1,0
582939,1254828,NYC-Endicott Gourmet Deli Corp  ,Convenience Store,2,Washington Ave,Ste 1,Endicott,NY,13760,5313,BROOME,42.10458,-76.04839,2016-10-20,2018-06-20,0,1,0
582942,1460573,Ocean State Job Lot 515,Combination Grocery/Other,416,Harry L Drive, ,Johnson City,NY,13790, ,BROOME,42.12075,-75.96478,2021-06-28,,1,0,0
582943,1261662,Old Barn Hollow  ,Small Grocery Store,214,State St, ,Binghamton,NY,13901,2712,BROOME,42.10237,-75.91135,2016-11-01,,0,0,0
582944,500738,ONE STOP GROCERIES  ,Convenience Store,285,Front St, ,Binghamton,NY,13905, ,BROOME,42.10867,-75.91416,1978-07-17,,0,0,0
582955,1222110,Pg Management Group Inc  ,Delivery Route,508,Court St,,Binghamton,NY,13904,1716,BROOME,42.10407,-75.87465,2016-01-15,2017-11-29,0,1,0
582959,577484,PRICE CHOPPER  130,Supermarket,911,North St, ,Endicott,NY,13760, ,BROOME,42.10394,-76.05247,1993-10-27,,0,0,0
582960,1017343,Price Chopper  Chenango 234,Supermarket,33,Chenango Bridge Rd, ,Binghamton,NY,13901,1265,BROOME,42.16851,-75.88464,2011-08-01,,0,0,0
582961,1042618,Price Chopper Binghamton 237,Supermarket,10,Glenwood Ave,Ste 2,Binghamton,NY,13905,2571,BROOME,42.10821,-75.93735,2012-01-26,,0,0,0
582962,1055998,PriceRite Of Vestal 233,Super Store,3124,Vestal Pkwy E, ,Vestal,NY,13850,2046,BROOME,42.09556,-76.00233,2012-05-02,2021-03-30,0,1,0
582965,1194472,Prince Mart  ,Small Grocery Store,55,Robinson St, ,Binghamton,NY,13901,2653,BROOME,42.10695,-75.89975,2015-05-20,,0,0,0
582966,419868,QUALITY DELI & GROCERY MARKET  ,Convenience Store,1206,Vestal Ave, ,Binghamton,NY,13903,1764,BROOME,42.08947,-75.91302,1983-10-12,2017-07-02,0,1,0
582967,1260446,Quality Market  ,Convenience Store,1206,Vestal Ave, ,Binghamton,NY,13903,1764,BROOME,42.08947,-75.91302,2016-10-05,,0,0,0
582970,834127,QUICK N EASY  ,Convenience Store,976,Conklin Rd, ,Conklin,NY,13748,1000,BROOME,42.08366,-75.82852,2007-10-24,,0,0,0
582971,1225571,Quick Stop Deli  ,Convenience Store,96,Harry L Dr, ,Johnson City,NY,13790,1648,BROOME,42.12153,-75.95061,2016-01-13,2018-05-01,0,1,0
582972,1319760,Quick Stop Deli Inc  ,Convenience Store,296,Main St, ,Johnson City,NY,13790,2001,BROOME,42.11588,-75.95738,2018-08-20,2021-08-22,1,0,0
582973,950281,Quickway 36,Convenience Store,1232,Upper Front St, ,Binghamton,NY,13905,1126,BROOME,42.1549,-75.8966,2010-05-13,2018-09-03,0,1,0
582974,965252,Quickway 42,Convenience Store,1165,Castle Creek Rd, ,Castle Creek,NY,13744,1308,BROOME,42.23194,-75.9169,2010-08-17,,0,0,0
582975,965153,Quickway 74,Convenience Store,3622,State Route 79, ,Harpursville,NY,13787, ,BROOME,42.18361,-75.63383,2010-08-17,,0,0,0
582976,965203,Quickway 68,Convenience Store,360,State Highway 10, ,Deposit,NY,13754,1274,BROOME,42.0554,-75.41398,2010-08-17,,0,0,0
582977,965236,Quickway 53,Convenience Store,1231,Campville Rd, ,Endicott,NY,13760,4498,BROOME,42.09014,-76.09513,2010-08-17,,0,0,0
582978,965222,Quickway 60,Convenience Store,5,Kattelville Rd, ,Chenango Bridge,NY,13745, ,BROOME,42.16917,-75.87292,2010-08-17,,0,0,0
582979,965232,Quickway 56,Convenience Store,3300,Vestal Rd, ,Vestal,NY,13850,2138,BROOME,42.10337,-75.99434,2010-08-17,,0,0,0
582983,722483,QUICKWAY #30 - KIRKWOOD  ,Convenience Store,1724,US Route 11, ,Kirkwood,NY,13795,1604,BROOME,42.03925,-75.79443,1992-10-15,,0,0,0
582985,324470,QUICKWAY #9 - BINGHAMTON 9,Convenience Store,1178,Vestal Ave, ,Binghamton,NY,13903,1613,BROOME,42.08891,-75.91451,1996-01-19,,0,0,0
582997,388282,Rite Aid 10803,Combination Grocery/Other,201,Conklin Ave, ,Binghamton,NY,13903,2147,BROOME,42.09431,-75.89824,2000-07-20,,0,0,0
582998,427408,Rite Aid 10790,Combination Grocery/Other,511,Hooper Rd, ,Endwell,NY,13760,1907,BROOME,42.1168,-76.01791,2000-07-25,,0,0,0
583003,1121122,Roger's Market  ,Convenience Store,109,North St, ,Endicott,NY,13760,4887,BROOME,42.09872,-76.06461,2013-11-06,,0,0,0
583007,1085779,Runway - Endicott  ,Convenience Store,429,E Main St, ,Endicott,NY,13760,4925,BROOME,42.09497,-76.05952,2013-02-14,2021-09-16,0,0,0
583012,1095235,Runway-conklin  ,Convenience Store,684,Conklin Rd, ,Binghamton,NY,13903,2743,BROOME,42.09975,-75.85549,2013-05-20,2021-09-16,0,0,0
583013,1095233,Runway-endwell  ,Convenience Store,3225,E Main St, ,Endicott,NY,13760,5952,BROOME,42.10661,-76.02201,2013-05-20,2021-09-16,0,0,0
583014,1281231,S King Deli  ,Convenience Store,274,Floral Ave, ,Johnson City,NY,13790,2545,BROOME,42.10742,-75.9601,2017-04-27,2019-02-27,1,1,1
583016,877332,Sam's Club 6366,Super Store,2441,Vestal Pkwy E, ,Vestal,NY,13850, ,BROOME,42.09452,-76.0121,2009-01-07,,0,0,0
583019,656941,SCHNEIDER'S OF KIRKWOOD INC  ,Supermarket,5MILE,POINT PLAZA, ,KIRKWOOD,NY,13795, ,BROOME,42.0858,-75.81886,1985-10-30,2019-12-29,0,1,0
583020,1385304,"Schneider's Of Kirkwood, Inc.  ",Supermarket,5,Mile Point Plaza, ,Kirkwood,NY,13795, ,BROOME,42.08581,-75.81886,2019-12-20,,1,0,0
583025,1424882,Shango Deli And Grocery Inc  ,Convenience Store,147,Washington Ave,,Endicott,NY,13760,5353,BROOME,42.10082,-76.0478,2020-10-28,2021-06-01,1,1,1
583028,1257933,Simar & Karan Inc/ Smiley Food Mart  ,Convenience Store,2650,Ny Route 26, ,Maine,NY,13802, ,BROOME,42.19816,-76.05843,2016-09-30,,0,0,0
583032,1180680,SK Mini Mart  ,Convenience Store,110,Main St, ,Binghamton,NY,13905, ,BROOME,42.10112,-75.92643,2015-01-30,2017-07-10,0,1,0
583035,485493,Speedway 9910,Convenience Store,719,Main St, ,Johnson City,NY,13790,1745,BROOME,42.11658,-75.97746,1994-02-16,2019-02-13,0,1,0
583036,627806,Speedway 9909,Convenience Store,1991,Union Center Hwy, ,Endicott,NY,13760,1347,BROOME,42.15479,-76.06964,1994-10-27,,0,0,0
583037,841467,Speedway 9913,Convenience Store,2105,E Main St, ,Endwell,NY,13760,5607,BROOME,42.1031,-76.03762,2008-01-08,,0,0,0
583038,967224,Speedway 7686,Convenience Store,63,Main St, ,Binghamton,NY,13905,2914,BROOME,42.0995,-75.92139,2010-08-20,,0,0,0
583039,979306,Speedway 7685,Convenience Store,503,E Main St, ,Endicott,NY,13760,5023,BROOME,42.09517,-76.05654,2010-11-16,,0,0,0
583040,979308,Speedway 7688,Convenience Store,781,State Route 7, ,Port Crane,NY,13833,2134,BROOME,42.1616,-75.77085,2010-11-16,,0,0,0
583041,979210,Speedway 7656,Convenience Store,709,Harry L Dr, ,Johnson City,NY,13790,1117,BROOME,42.12457,-75.97637,2010-11-16,,0,0,0
583042,987431,Speedway 7726,Convenience Store,3808,Vestal Pkwy E, ,Vestal,NY,13850,2316,BROOME,42.09589,-75.97929,2011-01-20,,0,0,0
583043,987441,Speedway 7729,Convenience Store,236,Conklin Ave, ,Binghamton,NY,13903,2226,BROOME,42.09521,-75.89336,2011-01-20,,0,0,0
583044,987435,Speedway 7728,Convenience Store,2811,US Highway 11, ,Whitney Point,NY,13862,2242,BROOME,42.32918,-75.96588,2011-01-24,2019-02-13,0,1,0
583045,980358,Speedway 7659,Convenience Store,1245,Front St, ,Binghamton,NY,13905,1134,BROOME,42.15637,-75.89632,2011-01-26,2021-01-04,0,1,0
583046,980362,Speedway 7687,Convenience Store,1454,State Route 12, ,Binghamton,NY,13901,5501,BROOME,42.1683,-75.88762,2011-01-26,,0,0,0
583047,989544,Speedway 7725,Convenience Store,59,Glenwood Ave, ,Binghamton,NY,13905,1938,BROOME,42.11217,-75.93901,2011-03-02,,0,0,0
583048,1058606,Speedway 9931,Convenience Store,2972,Route 11, ,Whitney Point,NY,13862,0637,BROOME,42.33726,-75.97592,2012-06-22,,0,0,0
583049,1066357,Speedway 9941,Convenience Store,16,North Rd, ,Windsor,NY,13865,1201,BROOME,42.09534,-75.75701,2012-08-05,,0,0,0
583050,1066350,Speedway 9923,Convenience Store,704,Front St, ,Binghamton,NY,13905,1548,BROOME,42.12576,-75.90694,2012-08-06,,0,0,0
583060,1124064,TA Binghamton 0207,Convenience Store,753,Court St, ,Binghamton,NY,13904,2707,BROOME,42.1011,-75.84193,2016-05-26,,0,0,0
583061,768406,TARGET 1056,Super Store,3112,Vestal Pkwy E, ,Vestal,NY,13850,2038,BROOME,42.09567,-76.00171,2005-10-12,,0,0,0
583066,1207230,The Local Express Mart Inc.  ,Convenience Store,157,Conklin Ave, ,Binghamton,NY,13903,2003,BROOME,42.09373,-75.90179,2015-11-04,,0,0,0
583068,1461562,The New 5&10 ,Convenience Store,2586,Main St,,Whitney Point,NY,13862,1807,BROOME,42.32984,-75.97276,2021-09-27,,0,0,0
583081,1436161,Uncle's Asian Market  ,Combination Grocery/Other,177,Main St,,Johnson City,NY,13790,2401,BROOME,42.11439,-75.95255,2021-01-26,,1,0,0
583082,971147,Uncles Asian Market  ,Small Grocery Store,200,Grand Ave, ,Johnson City,NY,13790,2619,BROOME,42.11036,-75.95724,2010-09-28,2020-05-03,0,1,0
583083,1195907,US  Mattress And Rugs  ,Convenience Store,233,Main St, ,Jonson City,NY,13790, ,BROOME,42.11507,-75.9549,2015-05-16,2021-12-15,0,0,0
583084,1352232,Us Express Mart Inc.  ,Convenience Store,349,Clinton St, ,Binghamton,NY,13905,2017,BROOME,42.11081,-75.938,2019-03-28,,1,0,0
583086,859693,USA MARKET  ,Convenience Store,33,EDWARDS ST, ,BINGHAMTON,NY,13905, ,BROOME,42.10338,-75.92532,2014-05-06,,0,0,0
583092,1097591,Volunteers Improving Neighborhood Environments CSA  ,Food Buying Co-op,42,Chenango St, ,Binghamton,NY,13901, ,BROOME,42.10007,-75.90983,2013-06-18,,0,0,0
583093,533460,Walgreens 19087,Combination Grocery/Other,100,E Main St, ,Endicott,NY,13760,4815,BROOME,42.09509,-76.06527,2000-07-25,,0,0,0
583094,287557,Walgreens 18984,Combination Grocery/Other,85,Robinson St, ,Binghamton,NY,13901,2521,BROOME,42.10712,-75.89669,2000-07-25,,0,0,0
583095,526815,Walgreens 10799,Combination Grocery/Other,3701,Vestal Parkway East, ,VESTAL,NY,13850, ,BROOME,42.0963,-75.98149,2000-07-25,,0,0,0
583096,334285,Walgreens 17974,Combination Grocery/Other,1250,Front St, ,BINGHAMTON,NY,13901, ,BROOME,42.15705,-75.89606,2000-10-13,,0,0,0
583097,820963,WALGREENS 10291,Combination Grocery/Other,335,Main St, ,Johnson City,NY,13790,2050,BROOME,42.11583,-75.95959,2007-05-03,,0,0,0
583098,890569,Walgreens 11207,Combination Grocery/Other,37,Pennsylvania Ave, ,Binghamton,NY,13903,1608,BROOME,42.08788,-75.91637,2009-04-02,,0,0,0
583099,933517,Walgreens 19206,Combination Grocery/Other,2642,Main St, ,Whitney Point,NY,13862,2242,BROOME,42.32905,-75.96874,2010-01-08,,0,0,0
583100,526892,Walmart SUPERCENTER 1835,Super Store,2405,Vestal Pkwy E, ,Vestal,NY,13850,2018,BROOME,42.09448,-76.01228,2000-08-03,,0,0,0
583101,957689,Walmart Supercenter 5732,Super Store,2,Gannett Dr, ,Johnson City,NY,13790,2260,BROOME,42.1167,-75.94868,2010-06-18,,0,0,0
583104,649009,Wegmans 73,Supermarket,650,Harry L Dr, ,Johnson City,NY,13790,1146,BROOME,42.12453,-75.97334,1990-08-07,,0,0,0
583107,911549,Weis Markets Inc 222,Supermarket,100,Rano Blvd,,Vestal,NY,13850,2776,BROOME,42.09414,-76.00358,2009-08-13,,0,0,0
583109,911530,Weis Markets Inc 218,Supermarket,925,Main St, ,Vestal,NY,13850,3263,BROOME,42.07181,-76.04752,2009-08-13,,0,0,0
583110,911506,Weis Markets Inc 213,Supermarket,307,Conklin Ave,,Binghamton,NY,13903,2464,BROOME,42.09676,-75.88808,2009-08-13,,0,0,0
583111,911543,Weis Markets Inc 220,Supermarket,50,Pennsylvania Ave,,Binghamton,NY,13903,1682,BROOME,42.08733,-75.91648,2009-08-13,,0,0,0
583112,911523,Weis Markets Inc 217,Supermarket,800,Hooper Rd, ,Endwell,NY,13760, ,BROOME,42.12836,-76.02909,2009-08-13,,0,0,0
583113,911514,Weis Markets Inc 215,Supermarket,412,Day Hollow Rd,,Endicott,NY,13760,2009,BROOME,42.11094,-76.07208,2009-08-13,,0,0,0
583114,911542,Weis Markets Inc 219,Supermarket,160,Robinson St,,Binghamton,NY,13904,1842,BROOME,42.1075,-75.88935,2009-08-13,,0,0,0
583115,911510,Weis Markets Inc 214,Supermarket,1290,Front St,,Binghamton,NY,13901,1046,BROOME,42.15883,-75.8956,2009-08-13,,0,0,0
583116,1403971,Wesley's Corner Store  ,Combination Grocery/Other,200,Grand Ave,,Johnson City,NY,13790,2619,BROOME,42.11037,-75.95724,2020-05-05,,1,0,0
583117,699006,WEST CORNERS GROCERY INC.  ,Medium Grocery Store,1003 1/2,Union Center Maine Hwy, ,Endicott,NY,13760, ,BROOME,42.10955,-76.07111,1930-01-01,,0,0,0
583118,1252933,West Side Gulf  ,Convenience Store,92,Main Street, ,Binghampton,NY,13905, ,BROOME,42.1005,-75.92506,2016-08-17,2021-02-19,0,1,0
583119,1442011,West Side Gulf  ,Convenience Store,92,Main Street, ,Binghamton,NY,13905, ,BROOME,42.10044,-75.92477,2021-04-22,,1,0,0
583122,937688,WH Convenience Store  ,Small Grocery Store,56 1/2,Henry St, ,Binghamton,NY,13901,3040,BROOME,42.10081,-75.90997,2010-09-24,2017-07-04,0,1,0
583125,1373363,Whitney Point Xpress Mart Inc - Xpressmart - Mobil  ,Convenience Store,2811,US Highway 11, ,Whitney Point,NY,13862, ,BROOME,42.32946,-75.96625,2019-08-26,,1,0,0
583127,1285848,Wilson Deli Inc  ,Convenience Store,296,Main St, ,Johnson City,NY,13790,2001,BROOME,42.11588,-75.95737,2017-06-21,2018-06-12,1,1,1
583128,397285,WINDSOR BIG M  ,Large Grocery Store,500,Chapel St, ,Windsor,NY,13865, ,BROOME,42.07632,-75.65033,1996-10-17,,0,0,0
583130,1196874,Windy Hill Candle Factory Inc.  ,Convenience Store,5201,State Route 79, ,Port Crane,NY,13833,1216,BROOME,42.24127,-75.73149,2015-05-19,2020-04-21,0,1,0
583133,1399155,Xpress Convenience LLC  ,Convenience Store,41,W State St,,Binghamton,NY,13901,2327,BROOME,42.11028,-75.90372,2020-04-21,2021-09-01,1,0,0
583144,1124302,Yellow Deli  ,Convenience Store,121,Susquehanna St, ,Binghamton,NY,13901,4001,BROOME,42.09671,-75.90565,2013-12-23,2017-05-17,0,1,0
583145,1347261,Z & R Qureshi LLC - Ary's Express Mart  ,Convenience Store,1188,Vestal Ave, ,Binghamton,NY,13903,1612,BROOME,42.08908,-75.91415,2019-02-15,,1,0,0
583916,1363896,403 Southside Deli And Grocery Inc  ,Convenience Store,403,Broadway St, ,Elmira,NY,14904,1626,CHEMUNG,42.07753,-76.81153,2019-09-11,2020-12-16,1,1,1
583917,1073650,7 Eleven 35251H,Convenience Store,865,Davis St/W Washington, ,Elmira,NY,14901,2005,CHEMUNG,42.09743,-76.81915,2012-10-21,,0,0,0
583920,1426300,7 Eleven Store #40138 40138,Convenience Store,625,Pennsylvania Ave, ,Elmira,NY,14904,2214,CHEMUNG,42.07351,-76.80447,2020-10-14,,1,0,0
583921,1426315,7 Eleven Store #40221 40221,Convenience Store,359,N Main St, ,Elmira,NY,14901,2727,CHEMUNG,42.0911,-76.80937,2020-10-14,,1,0,0
583922,1208436,7 Eleven Store 35252a  ,Convenience Store,709,W Gray St, ,Elmira,NY,14905,2419,CHEMUNG,42.0845,-76.82309,2015-09-08,,0,0,0
583926,296393,A.A. MART INC  ,Convenience Store,804,Lake St, ,Elmira,NY,14901,2303,CHEMUNG,42.10007,-76.80435,2004-09-27,2020-11-08,0,1,0
583927,1412552,Aces & Eights General Store  ,Convenience Store,1156,Broadway St, ,Elmira,NY,14904,2505,CHEMUNG,42.05574,-76.81995,2020-08-26,,1,0,0
583932,950994,Aldi 59,Supermarket,1700, County Road 64, ,Horseheads,NY,14845, ,CHEMUNG,42.16041,-76.85326,2010-05-05,,0,0,0
583933,955620,Aldi 58,Supermarket,100,W Hudson St,,Elmira,NY,14904,1306,CHEMUNG,42.08382,-76.80385,2010-06-04,,0,0,0
583934,1276372,Amitgk 416 Corp - Westen Food Mart  ,Convenience Store,416,Walnut St, ,Elmira,NY,14901,2407,CHEMUNG,42.08974,-76.81879,2017-03-20,,0,0,0
583935,749923,APLUS 40221H,Convenience Store,359,N Main St, ,Elmira,NY,14901,2727,CHEMUNG,42.09122,-76.80901,2005-04-27,2020-10-13,0,1,0
583936,863460,APlus 40138,Convenience Store,625,Pennsylvania Ave, ,Elmira,NY,14904,2214,CHEMUNG,42.07353,-76.80472,2008-08-27,2020-10-13,0,1,0
583937,863460,APlus 40138,Convenience Store,625,Pennsylvania Ave, ,Elmira,NY,14904,2214,CHEMUNG,42.07353,-76.80472,2020-10-16,,1,0,0
583938,749923,APLUS 40221H,Convenience Store,359,N Main St, ,Elmira,NY,14901,2727,CHEMUNG,42.09122,-76.80901,2020-10-16,,1,0,0
583944,1159705,Big Lots 1631,Combination Grocery/Other,801,Lake St, ,Elmira,NY,14901,2302,CHEMUNG,42.10073,-76.80443,2014-07-11,,0,0,0
583951,312539,Byrne Dairy Elmira 39,Convenience Store,900,Walnut St, ,Elmira,NY,14901,1836,CHEMUNG,42.09661,-76.82256,1980-09-03,2019-04-11,0,1,0
583952,1476201,Byrne Dairy Elmira 138,Convenience Store,528,Pennsylvania Ave, ,Elmira,NY,14904,1733,CHEMUNG,42.0757,-76.80421,2021-10-18,,0,0,0
583953,789318,Byrne Dairy Fairgrounds 01,Convenience Store,1968,Grand Central Ave, ,Horseheads,NY,14845,3071,CHEMUNG,42.14297,-76.8205,2006-06-08,,0,0,0
583954,688203,Byrne Dairy Horeseheads 66,Convenience Store,482,Old Ithaca Rd, ,Horseheads,NY,14845,7212,CHEMUNG,42.1889,-76.79192,1981-12-22,,0,0,0
583955,1366477,Byrne Dairy Horsheads 126,Convenience Store,2529,Corning Rd, ,Elmira,NY,14903,1047,CHEMUNG,42.15344,-76.83563,2019-06-06,,1,0,0
583956,475934,Byrne Dairy Penn Ave. 47,Convenience Store,449,Pennsylvania Ave, ,Elmira,NY,14904, ,CHEMUNG,42.07774,-76.80314,1984-09-11,,0,0,0
583957,868374,College Ave Convenient Mart  ,Convenience Store,1309,College Ave, ,Elmira,NY,14901,1111,CHEMUNG,42.10984,-76.82001,2008-10-29,2019-09-29,0,1,0
583969,473453,Dandy Mini Mart 10,Convenience Store,5409,COUNTRY ROAD 60, ,CHEMUNG,NY,14825, ,CHEMUNG,42.00789,-76.61694,1988-05-27,,0,0,0
583970,403500,Dandy Mini Mart 24,Convenience Store,908,E Church St, ,Elmira,NY,14901,2842,CHEMUNG,42.09541,-76.78941,1998-04-16,,0,0,0
583971,583713,Dandy Mini Mart 26,Convenience Store,10,Main St, ,Wellsburg,NY,14894,9704,CHEMUNG,42.00175,-76.72964,1998-07-01,,0,0,0
583972,905025,Dandy Mini Mart 34,Convenience Store,668,Main St, ,Breesport,NY,14816, ,CHEMUNG,42.17343,-76.73447,2009-07-28,,0,0,0
583973,919868,Dandy Mini Mart 63,Convenience Store,1769,Grand Central Ave, ,Elmira,NY,14903,1428,CHEMUNG,42.13017,-76.81833,2009-11-12,,0,0,0
583974,927979,Dandy Mini Mart 57,Convenience Store,104,Wygant Rd, ,Horseheads,NY,14845,9108,CHEMUNG,42.1895,-76.83349,2009-12-18,,0,0,0
583975,974409,Dandy Mini Mart 11,Convenience Store,3149,State Route 352, ,Big Flats,NY,14814,8925,CHEMUNG,42.13311,-76.94539,2010-10-07,,0,0,0
583977,993642,Dandy Mini Mart 71,Convenience Store,3564,Watkins Rd, ,Pine Valley,NY,14872, ,CHEMUNG,42.21914,-76.84717,2011-02-24,,0,0,0
583978,1091793,Dandy Mini Mart 75,Convenience Store,179,State Route 414, ,Beaver Dams,NY,14812,9117,CHEMUNG,42.23792,-76.95806,2013-04-29,,0,0,0
583979,974411,Dandy Mini Mart 30,Convenience Store,4,Gee St, ,Van Etten,NY,14889,9513,CHEMUNG,42.20096,-76.55196,2018-04-20,,1,0,0
583980,1404655,Dandy Mini Mart 68,Convenience Store,1055,County Road 64,County Rt,Elmira,NY,14903,9700,CHEMUNG,42.15753,-76.86424,2020-05-20,,1,0,0
583983,1390351,DK Marks HH LLC - Jubilee Foods  ,Super Store,2898,Westinghouse Rd,Ste 504,Horseheads,NY,14845,8118,CHEMUNG,42.1764,-76.83765,2020-02-13,,1,0,0
